id,yahoo_player_key,player_name,primary_position,player_type
2399,469.p.64512,Sam Stuhr,SP,pitcher
2544,469.p.65037,Samy Natera Jr.,RP,pitcher
2431,469.p.60488,Santiago Suarez,SP,pitcher
1948,469.p.65895,Sean Youngerman,SP,pitcher
1451,469.p.63547,Sheng-En Lin,SS,batter
1798,469.p.65050,Shotaro Morii,SS,batter
2037,469.p.66458,Silvano Hechavarria,SP,pitcher
1127,469.p.65733,Steele Hall,SS,batter
2105,469.p.63006,Steven Echavarria,SP,pitcher
1288,469.p.66432,Stiven Marinez,SS,batter
1188,469.p.65809,Taitn Gray,C,batter
1918,469.p.65802,Talon Haley,SP,pitcher
1924,469.p.65823,Tanner Franklin,SP,pitcher
2108,469.p.63018,Teddy McGraw,SP,pitcher
2352,469.p.64412,Thatcher Hurd,SP,pitcher
1569,469.p.64335,Theo Gillen,Util,batter
2101,469.p.62986,Thomas White,SP,pitcher
1349,469.p.62910,TJayy Walton,Util,batter
2121,469.p.63102,T.J. Nichols,SP,pitcher
2472,469.p.60668,Trace Bright,SP,pitcher
2060,469.p.62806,Trey Gibson,SP,pitcher
1294,469.p.66440,Truitt Madonna,C,batter
2144,469.p.63238,Tucker Musgrove,SP,pitcher
2093,469.p.62936,Ty Floyd,SP,pitcher
1204,469.p.65848,Ty Harvey,C,batter
1886,469.p.65737,Tyler Bremner,SP,pitcher
2004,469.p.66403,Tyler Schlaffer,SP,pitcher
778,469.p.66385,Tyler Uberstine,SP,pitcher
1866,469.p.61578,Tzu-Chen Sha,SP,pitcher
2498,469.p.64905,Ubaldo Soto,SP,pitcher
1787,469.p.65012,Victor Hurtado,LF,batter
1638,469.p.60375,Victor Labrada,Util,batter
1903,469.p.12529,Victor Lizarraga,SP,pitcher
1282,469.p.66418,Warren Calcaño,SS,batter
1142,469.p.65744,Wehiwa Aloy,SS,batter
2001,469.p.66397,Wei-En Lin,SP,pitcher
2569,469.p.65314,Wellington Aracena,SP,pitcher
2201,469.p.63616,Wen Hui Pan,RP,pitcher
1838,469.p.65502,Wilfri De La Cruz,SS,batter
2500,469.p.64909,Will Johnston,SP,pitcher
2113,469.p.63054,Will Sanders,SP,pitcher
2434,469.p.64616,Will Watson,SP,pitcher
1727,469.p.64917,Yairo Padilla,SS,batter
1745,469.p.64959,Yandel Ricardo,SS,batter
1592,469.p.60271,Yasser Mercedes,CF,batter
2496,469.p.64901,Yhoiker Fajardo,SP,pitcher
1443,469.p.63532,Yoeilin Cespedes,SS,batter
2036,469.p.66459,Yoel Tejeda Jr.,SP,pitcher
1776,469.p.64998,Yohendry Sanchez,C,batter
2178,469.p.63534,Yordanny Monegro,SP,pitcher
1297,469.p.66446,Yorger Bautista,Util,batter
2473,469.p.64764,Yujanyer Herrera,SP,pitcher
1955,469.p.65928,Zane Taylor,SP,pitcher
