PLAYER NAME,TEAM,POS,AVG,BEST,WORST,# TEAMS,STDEV
Spencer Strider,ATL,SP,106.6,77,124,6,19.6
Tyler Glasnow,LAD,SP,108.6,104,123,6,7.9
Raisel Iglesias,ATL,RP,111.4,100,167,6,26.1
Willy Adames,SFG,SS,113.4,88,129,6,15.8
Chase Burns,CIN,"SP,RP",113.4,100,126,6,10.2
Trevor Story,BOS,SS,116.6,103,187,6,32.3
Brandon Nimmo,TEX,"LF,CF",118.2,98,152,6,22.4
Teoscar Hernandez,LAD,"LF,RF",118.2,101,127,6,10.6
Brandon Woodruff,MIL,SP,120.2,102,129,6,11.1
Luis Robert Jr.,NYM,CF,121.2,109,199,6,36.6
Yandy Diaz,TBR,"1B,DH",122.2,102,153,6,19.3
Jo Adell,LAA,"CF,RF",124.4,115,172,6,22.9
Ryan Helsley,BAL,RP,127.0,106,179,6,28.8
Nick Lodolo,CIN,SP,129.2,126,135,6,3.5
Taylor Ward,BAL,LF,130.0,106,145,6,14.8
Zack Wheeler,PHI,SP,131.0,77,149,6,27.2
Ozzie Albies,ATL,2B,131.2,83,151,6,25.2
Lawrence Butler,ATH,"CF,RF",132.8,114,215,6,38.3
Michael King,SDP,SP,134.8,133,153,6,7.9
Nathan Eovaldi,TEX,SP,136.0,94,150,6,22.5
Ryan Pepiot,TBR,SP,139.8,99,155,6,22.9
Yainer Diaz,HOU,"C,DH",139.8,108,246,6,56.3
Luis Castillo,SEA,SP,140.6,93,167,6,27.6
Matt Chapman,SFG,3B,141.4,104,161,6,21.4
Gavin Williams,CLE,SP,142.2,113,148,6,14.1
Dansby Swanson,CHC,SS,146.2,122,197,6,29.8
Adley Rutschman,BAL,C,148.6,109,232,6,47.7
Brandon Lowe,PIT,2B,150.6,122,242,6,46.8
Ian Happ,CHC,LF,150.8,105,175,6,26.9
Steven Kwan,CLE,LF,151.0,69,169,6,36.4
Sandy Alcantara,MIA,SP,154.2,121,162,6,15.6
Kenley Jansen,DET,RP,157.0,138,223,6,33.0
Jackson Holliday,BAL,"2B,SS",158.0,142,281,6,54.3
Jordan Westburg,BAL,"2B,3B",160.8,140,341,6,80.7
Ivan Herrera,STL,"C,DH",178.6,105,324,6,88.3
Spencer Torkelson,DET,1B,179.8,127,187,6,23.6
Bryan Reynolds,PIT,"LF,CF,RF,DH",180.8,152,192,6,15.2
Carlos Rodon,NYY,SP,188.4,173,216,6,17.1
Andrew Abbott,CIN,SP,189.0,173,223,6,18.5
Jack Flaherty,DET,SP,191.2,154,251,6,36.0
Dylan Crews,WSH,"CF,RF",197.4,162,289,6,48.7
Marcus Semien,NYM,2B,199.6,131,242,6,41.7
Robert Suarez,ATL,RP,200.8,182,271,6,33.1
Royce Lewis,MIN,3B,204.2,184,315,6,51.2
Colson Montgomery,CHW,"3B,SS",178.6,139,259,6,43.4
Spencer Schwellenbach,ATL,SP,178.8,83,399,6,125.4
Mike Trout,LAA,"CF,RF,DH",171.2,131,184,6,21.2
Kodai Senga,NYM,SP,266.6,173,322,6,55.1
Walker Buehler,SDP,SP,869.0,498,1240,6,297.5
Josh Young,TEX,3B,205.0,180,230,6,20.4
Gavin Lux,TBR,2B,206.0,175,237,6,25.3
Trevor Larnach,MIN,"LF,RF,DH",207.5,185,230,6,18.2
Lars Nootbaar,STL,"LF,CF,RF",208.0,175,240,6,26.5
Brendan Donovan,SEA,"2B,SS,LF",212.0,178,246,6,28.4
Brenton Doyle,COL,CF,213.4,155,248,6,37.2
Griffin Jax,MIN,RP,215.4,170,295,6,48.6
Aaron Nola,PHI,SP,215.8,169,242,6,29.6
Heliot Ramos,SFG,"LF,CF,RF",217.0,161,231,6,28.4
Shane McClanahan,TBR,SP,217.8,192,227,6,14.1
Kyle Teel,CHW,C,218.0,177,256,6,31.8
J.T. Realmuto,PHI,C,221.8,206,250,6,17.3
Merrill Kelly,ARI,SP,224.2,196,240,6,18.2
Joe Musgrove,SDP,SP,224.2,220,243,6,9.2
Adolis Garcia,PHI,RF,224.8,189,236,6,18.3
Wilyer Abreu,BOS,"LF,CF,RF",224.8,213,252,6,16.3
Ezequiel Tovar,COL,SS,225.2,199,308,6,42.2
Max Muncy,LAD,3B,226.2,209,245,6,14.6
Matt McLain,CIN,2B,228.4,187,249,6,25.3
Sal Frelick,MIL,"LF,CF,RF",229.6,180,277,6,38.2
Trent Grisham,NYY,CF,230.6,191,254,6,25.6
Kerry Carpenter,DET,"LF,RF,DH",234.0,219,257,6,16.0
Samuel Basallo,BAL,C,234.2,166,266,6,40.4
Giancarlo Stanton,NYY,"LF,RF,DH",236.6,221,250,6,12.0
Roki Sasaki,LAD,SP,238.0,216,263,6,18.9
Austin Wells,NYY,C,239.6,227,315,6,35.6
Caleb Durbin,BOS,"2B,3B",241.4,184,290,6,40.9
Noah Cameron,KCR,SP,242.6,200,323,6,49.5
Otto Lopez,MIA,"2B,SS",243.2,198,300,6,41.4
Kyle Manzardo,CLE,"1B,DH",243.6,212,313,6,41.1
Luis Arraez,SFG,"1B,2B,DH",244.2,171,262,6,35.6
Francisco Alvarez,NYM,C,245.4,171,284,6,44.1
Alec Bohm,PHI,"1B,3B",245.6,213,254,6,16.2
Jung Hoo Lee,SFG,CF,248.4,190,366,6,70.9
Jack Leiter,TEX,SP,251.6,207,352,6,57.5
Carlos Correa,HOU,"3B,SS",251.6,238,263,6,10.2
Colton Cowser,BAL,"LF,CF,RF",251.8,198,368,6,69.0
Logan OHoppe,LAA,C,255.4,241,320,6,31.8
Xander Bogaerts,SDP,SS,256.2,229,296,6,26.8
Dillon Dingler,DET,C,257.6,209,346,6,55.4
Bryan Abreu,HOU,RP,258.0,175,311,6,56.2
Ryne Nelson,ARI,"SP,RP",264.2,214,284,6,28.4
Bryce Miller,SEA,SP,264.2,248,290,6,17.2
Ernie Clement,TOR,"1B,2B,3B,SS",264.6,157,308,6,61.4
Andrew Vaughn,CHW,1B,284.4,260,352,6,36.8
Jesus Sanchez,MIA,"LF,CF,RF",286.0,235,343,6,43.2
Connor Norby,MIA,3B,287.0,250,370,6,48.2
Colt Emerson,SEA,SS,290.4,238,430,6,78.5
Evan Carter,TEX,"LF,CF,RF",290.8,220,351,6,53.6
Joey Cantillo,CLE,"SP,RP",291.2,224,349,6,51.5
Casey Mize,DET,SP,291.6,224,327,6,41.2
Miguel Vargas,CHW,"1B,3B",291.6,230,327,6,40.1
Luis Gil,NYY,SP,292.2,257,364,6,43.8
Mickey Moniak,COL,"LF,CF,RF",292.5,230,355,6,50.2
Lenyn Sosa,CHW,"1B,2B",295.0,232,419,6,76.4
Braxton Ashcraft,PIT,"SP,RP",296.2,282,328,6,18.5
Andres Gimenez,TOR,"2B,SS",296.6,202,381,6,72.5
Ryan Weathers,NYY,SP,296.6,244,329,6,34.9
Jordan Beck,COL,"LF,RF",297.0,213,355,6,56.8
Anthony Santander,TOR,"LF,RF,DH",298.6,218,421,6,81.8
Brayan Bello,BOS,SP,298.8,236,335,6,40.0
Brady Singer,CIN,SP,299.0,214,350,6,56.0
Edwin Uceta,TBR,RP,299.0,276,387,6,43.8
Ian Seymour,TBR,"SP,RP",302.2,228,350,6,49.0
David Peterson,NYM,SP,302.4,264,364,6,40.6
Chris Bassitt,BAL,SP,303.0,271,361,6,35.7
Tommy Edman,LAD,"2B,3B,CF",304.0,233,364,6,50.4
Nolan Schanuel,LAA,1B,307.8,276,356,6,31.8
Zach McKinstry,DET,"3B,SS,LF,RF",308.6,239,385,6,58.8
Nick Castellanos,PHI,RF,308.8,267,393,6,52.0
Jameson Taillon,CHC,SP,310.0,253,390,6,54.8
Victor Scott,STL,CF,311.0,281,366,6,34.5
Parker Messick,CLE,SP,311.8,286,330,6,17.0
Carson Kelly,CHC,C,312.2,214,371,6,63.1
Yusei Kikuchi,LAA,SP,312.8,225,346,6,48.4
Brett Baty,NYM,"2B,3B",313.2,226,362,6,55.0
Sean Manaea,NYM,"SP,RP",314.6,241,349,6,44.3
Will Vest,DET,RP,315.0,237,367,6,52.4
Andrew Painter,PHI,SP,315.0,264,330,6,26.5
Seth Lugo,KCR,SP,316.0,263,369,6,44.5
Brooks Lee,MIN,"2B,3B,SS",316.2,271,380,6,44.6
Willi Castro,COL,"2B,3B,LF,RF",316.2,272,363,6,35.0
J.P. Crawford,SEA,SS,316.4,208,384,6,68.6
Jeremiah Estrada,SDP,RP,320.2,225,413,6,76.2
Riley OBrien,STL,RP,321.2,268,393,6,50.3
Mike Burrows,HOU,"SP,RP",321.6,308,381,6,31.0
Hurston Waldrep,ATL,SP,321.6,303,379,6,31.6
Mitch Keller,PIT,SP,321.8,222,350,6,52.8
Josh Smith,TEX,"1B,3B,SS,LF,RF",322.4,282,386,6,39.2
Will Warren,NYY,SP,322.8,297,451,6,63.0
Jeff McNeil,ATH,"2B,LF,CF,RF",324.6,255,376,6,48.2
Josh Jung,TEX,3B,325.4,213,374,6,64.6
Michael Wacha,KCR,SP,325.8,259,359,6,38.0
Josh Lowe,LAA,"LF,CF,RF",329.5,238,332,6,38.8
Nolan Arenado,ARI,3B,330.6,211,387,6,68.2
Carson Benge,NYM,CF,330.6,284,364,6,32.8
Jonathan India,KCR,"2B,3B,LF,DH",330.8,229,365,6,54.6
Cedric Mullins II,TBR,CF,330.6,272,386,6,44.8
Reynaldo Lopez,ATL,SP,332.4,316,358,6,16.2
Anthony Volpe,NYY,SS,336.8,221,358,6,56.2
Jose Soriano,LAA,SP,337.0,237,368,6,52.6
Ryan McMahon,NYY,3B,339.2,206,406,6,81.4
Jake Cronenworth,SDP,"1B,2B,SS",339.2,282,431,6,59.6
Carlos Narvaez,BOS,C,339.2,290,373,6,33.9
Kirby Yates,LAA,RP,339.8,269,465,6,79.6
Dylan Carlson,FA,OF,355.0,285,425,6,58.3
Joey Wiemer,MIL,OF,356.0,295,417,6,50.8
Nick Senzel,FA,"3B,OF",357.0,288,426,6,56.9
Akil Baddoo,DET,OF,358.0,292,424,6,54.9
Pavin Smith,ARI,"1B,OF",359.0,294,424,6,54.2
Sam Hilliard,FA,OF,360.0,298,422,6,51.7
Brian Anderson,FA,"3B,OF",361.0,295,427,6,55.3
Garrett Cooper,FA,1B,362.0,298,426,6,53.6
Adam Engel,FA,OF,363.0,302,424,6,50.8
Kevin Kiermaier,FA,OF,364.0,305,423,6,49.0
Adam Duvall,ATL,OF,365.0,275,455,6,75.0
Raimel Tapia,FA,OF,366.0,308,424,6,48.3
David Peralta,SDP,OF,367.0,312,422,6,46.1
Andrew Benintendi,CHW,OF,368.0,295,441,6,61.0
Tommy Pham,FA,OF,369.0,305,433,6,53.8
Alex Dickerson,FA,OF,370.0,315,425,6,46.0
Corey Dickerson,FA,OF,371.0,318,424,6,44.3
Gregory Polanco,FA,OF,372.0,322,422,6,41.6
Kole Calhoun,FA,OF,373.0,325,421,6,40.0
Josh Reddick,FA,OF,374.0,328,420,6,38.6
Nomar Mazara,FA,OF,375.0,330,420,6,37.5
Delino DeShields,FA,OF,376.0,332,420,6,36.6
Billy Hamilton,FA,OF,377.0,325,429,6,43.3
Jarrod Dyson,FA,OF,378.0,335,421,6,35.8
Cameron Maybin,FA,OF,0,0,0,6,0.0
Jon Jay,FA,OF,0,0,0,6,0.0
Melvin Upton Jr.,FA,OF,0,0,0,6,0.0
Michael Bourn,FA,OF,0,0,0,6,0.0
Rajai Davis,FA,OF,0,0,0,6,0.0
Denard Span,FA,OF,0,0,0,6,0.0
Angel Pagan,FA,OF,0,0,0,6,0.0
Player500,FA,OF,350.0,280,420,6,58.3
Player501,FA,OF,350.0,280,420,6,58.3
Player502,FA,OF,350.0,280,420,6,58.3
Player503,FA,OF,350.0,280,420,6,58.3
Player504,FA,OF,350.0,280,420,6,58.3
Player505,FA,OF,350.0,280,420,6,58.3
Player506,FA,OF,350.0,280,420,6,58.3
Player507,FA,OF,350.0,280,420,6,58.3
Player508,FA,OF,350.0,280,420,6,58.3
Player509,FA,OF,350.0,280,420,6,58.3
Player510,FA,OF,350.0,280,420,6,58.3
Player511,FA,OF,350.0,280,420,6,58.3
Player512,FA,OF,350.0,280,420,6,58.3
Player513,FA,OF,350.0,280,420,6,58.3
Player514,FA,OF,350.0,280,420,6,58.3
Player515,FA,OF,350.0,280,420,6,58.3
Player516,FA,OF,350.0,280,420,6,58.3
Player517,FA,OF,350.0,280,420,6,58.3
Player518,FA,OF,350.0,280,420,6,58.3
Player519,FA,OF,350.0,280,420,6,58.3
Player520,FA,OF,350.0,280,420,6,58.3
Player521,FA,OF,350.0,280,420,6,58.3
Player522,FA,OF,350.0,280,420,6,58.3
Player523,FA,OF,350.0,280,420,6,58.3
Player524,FA,OF,350.0,280,420,6,58.3
Player525,FA,OF,350.0,280,420,6,58.3
Player526,FA,OF,350.0,280,420,6,58.3
Player527,FA,OF,350.0,280,420,6,58.3
Player528,FA,OF,350.0,280,420,6,58.3
Player529,FA,OF,350.0,280,420,6,58.3
